year,month,borough,number_of_violations,min_violations,max_violations
2012,1,Bronx,314.0,0.0,158.0
2012,2,Bronx,360.0,0.0,177.0
2012,3,Bronx,355.0,0.0,157.0
2012,4,Bronx,223.0,0.0,93.0
2012,5,Bronx,254.0,2.0,83.0
2012,6,Bronx,251.0,0.0,77.0
2012,7,Bronx,419.0,5.0,160.0
2012,8,Bronx,325.0,0.0,179.0
2012,9,Bronx,689.0,8.0,248.0
2012,10,Bronx,267.0,6.0,80.0
2012,12,Bronx,323.0,0.0,154.0
2013,1,Bronx,263.0,0.0,117.0
2013,2,Bronx,320.0,2.0,118.0
2013,3,Bronx,422.0,1.0,191.0
2013,4,Bronx,545.0,4.0,166.0
2013,5,Bronx,301.0,2.0,85.0
2013,6,Bronx,443.0,0.0,146.0
2013,7,Bronx,531.0,18.0,156.0
2013,8,Bronx,263.0,0.0,72.0
2013,9,Bronx,615.0,6.0,180.0
2013,10,Bronx,627.0,6.0,175.0
2013,11,Bronx,354.0,2.0,146.0
2013,12,Bronx,323.0,0.0,205.0
2014,1,Bronx,634.0,7.0,162.0
2014,2,Bronx,513.0,11.0,129.0
2014,3,Bronx,668.0,15.0,211.0
2014,4,Bronx,563.0,12.0,175.0
2014,5,Bronx,1214.0,19.0,224.0
2014,6,Bronx,598.0,12.0,112.0
2014,7,Bronx,649.0,6.0,181.0
2014,8,Bronx,717.0,8.0,192.0
2014,9,Bronx,517.0,13.0,105.0
2014,10,Bronx,594.0,15.0,122.0
2014,11,Bronx,1182.0,29.0,166.0
2014,12,Bronx,421.0,6.0,81.0
2015,1,Bronx,641.0,21.0,105.0
2015,2,Bronx,540.0,6.0,135.0
2015,3,Bronx,732.0,24.0,153.0
2015,4,Bronx,817.0,29.0,139.0
2015,5,Bronx,730.0,18.0,137.0
2015,6,Bronx,783.0,29.0,111.0
2015,7,Bronx,726.0,21.0,145.0
2015,8,Bronx,722.0,15.0,117.0
2015,9,Bronx,565.0,11.0,106.0
2015,10,Bronx,596.0,13.0,100.0
2015,11,Bronx,1455.0,72.0,176.0
2015,12,Bronx,445.0,3.0,96.0
2016,1,Bronx,837.0,21.0,120.0
2016,2,Bronx,637.0,30.0,96.0
2016,3,Bronx,900.0,23.0,131.0
2016,4,Bronx,912.0,52.0,125.0
2016,5,Bronx,976.0,19.0,188.0
2016,6,Bronx,788.0,36.0,92.0
2016,7,Bronx,603.0,20.0,158.0
2016,8,Bronx,840.0,20.0,148.0
2016,9,Bronx,684.0,20.0,114.0
2016,10,Bronx,1299.0,51.0,174.0
2012,1,Brooklyn,214.0,0.0,27.0
2012,2,Brooklyn,206.0,0.0,41.0
2012,3,Brooklyn,401.0,1.0,64.0
2012,4,Brooklyn,242.0,0.0,37.0
2012,5,Brooklyn,232.0,0.0,68.0
2012,6,Brooklyn,363.0,0.0,78.0
2012,7,Brooklyn,231.0,0.0,43.0
2012,8,Brooklyn,186.0,0.0,27.0
2012,9,Brooklyn,201.0,0.0,38.0
2012,10,Brooklyn,265.0,0.0,71.0
2012,12,Brooklyn,157.0,0.0,34.0
2013,1,Brooklyn,387.0,0.0,55.0
2013,2,Brooklyn,252.0,1.0,29.0
2013,3,Brooklyn,419.0,0.0,55.0
2013,4,Brooklyn,608.0,3.0,111.0
2013,5,Brooklyn,554.0,4.0,116.0
2013,6,Brooklyn,492.0,0.0,74.0
2013,7,Brooklyn,566.0,0.0,65.0
2013,8,Brooklyn,494.0,1.0,113.0
2013,9,Brooklyn,466.0,0.0,77.0
2013,10,Brooklyn,641.0,0.0,99.0
2013,11,Brooklyn,411.0,2.0,123.0
2013,12,Brooklyn,304.0,0.0,53.0
2014,1,Brooklyn,666.0,0.0,61.0
2014,2,Brooklyn,492.0,3.0,75.0
2014,3,Brooklyn,815.0,8.0,72.0
2014,4,Brooklyn,872.0,4.0,81.0
2014,5,Brooklyn,1386.0,5.0,141.0
2014,6,Brooklyn,830.0,2.0,98.0
2014,7,Brooklyn,990.0,0.0,203.0
2014,8,Brooklyn,795.0,5.0,161.0
2014,9,Brooklyn,870.0,6.0,163.0
2014,10,Brooklyn,1098.0,8.0,173.0
2014,11,Brooklyn,1229.0,10.0,175.0
2014,12,Brooklyn,586.0,0.0,125.0
2015,1,Brooklyn,698.0,6.0,105.0
2015,2,Brooklyn,673.0,5.0,69.0
2015,3,Brooklyn,953.0,5.0,106.0
2015,4,Brooklyn,836.0,8.0,117.0
2015,5,Brooklyn,884.0,4.0,108.0
2015,6,Brooklyn,879.0,1.0,125.0
2015,7,Brooklyn,822.0,0.0,186.0
2015,8,Brooklyn,1079.0,3.0,166.0
2015,9,Brooklyn,900.0,1.0,152.0
2015,10,Brooklyn,1212.0,8.0,276.0
2015,11,Brooklyn,2309.0,23.0,255.0
2015,12,Brooklyn,615.0,4.0,86.0
2016,1,Brooklyn,863.0,2.0,188.0
2016,2,Brooklyn,1138.0,9.0,105.0
2016,3,Brooklyn,1304.0,6.0,120.0
2016,4,Brooklyn,989.0,10.0,103.0
2016,5,Brooklyn,1118.0,8.0,127.0
2016,6,Brooklyn,1085.0,4.0,112.0
2016,7,Brooklyn,832.0,0.0,144.0
2016,8,Brooklyn,1315.0,5.0,248.0
2016,9,Brooklyn,987.0,6.0,123.0
2016,10,Brooklyn,2010.0,8.0,275.0
2012,1,Manhattan,168.0,0.0,102.0
2012,2,Manhattan,311.0,0.0,81.0
2012,3,Manhattan,202.0,0.0,79.0
2012,4,Manhattan,146.0,0.0,63.0
2012,5,Manhattan,173.0,0.0,60.0
2012,6,Manhattan,138.0,0.0,68.0
2012,7,Manhattan,93.0,0.0,33.0
2012,8,Manhattan,103.0,0.0,32.0
2012,9,Manhattan,154.0,0.0,58.0
2012,10,Manhattan,147.0,0.0,70.0
2012,12,Manhattan,156.0,0.0,43.0
2013,1,Manhattan,161.0,0.0,46.0
2013,2,Manhattan,299.0,0.0,92.0
2013,3,Manhattan,301.0,0.0,100.0
2013,4,Manhattan,330.0,0.0,79.0
2013,5,Manhattan,376.0,1.0,87.0
2013,6,Manhattan,244.0,0.0,57.0
2013,7,Manhattan,174.0,0.0,41.0
2013,8,Manhattan,141.0,0.0,45.0
2013,9,Manhattan,277.0,0.0,94.0
2013,10,Manhattan,388.0,1.0,75.0
2013,11,Manhattan,156.0,0.0,65.0
2013,12,Manhattan,173.0,0.0,54.0
2014,1,Manhattan,202.0,0.0,46.0
2014,2,Manhattan,300.0,0.0,102.0
2014,3,Manhattan,442.0,2.0,99.0
2014,4,Manhattan,267.0,0.0,69.0
2014,5,Manhattan,898.0,13.0,155.0
2014,6,Manhattan,343.0,0.0,110.0
2014,7,Manhattan,409.0,2.0,89.0
2014,8,Manhattan,676.0,0.0,145.0
2014,9,Manhattan,352.0,1.0,50.0
2014,10,Manhattan,518.0,1.0,84.0
2014,11,Manhattan,997.0,9.0,117.0
2014,12,Manhattan,313.0,0.0,56.0
2015,1,Manhattan,453.0,0.0,118.0
2015,2,Manhattan,492.0,3.0,128.0
2015,3,Manhattan,441.0,0.0,118.0
2015,4,Manhattan,735.0,0.0,185.0
2015,5,Manhattan,591.0,2.0,74.0
2015,6,Manhattan,595.0,0.0,60.0
2015,7,Manhattan,577.0,3.0,95.0
2015,8,Manhattan,647.0,2.0,92.0
2015,9,Manhattan,583.0,0.0,72.0
2015,10,Manhattan,615.0,3.0,66.0
2015,11,Manhattan,1523.0,29.0,139.0
2015,12,Manhattan,365.0,0.0,89.0
2016,1,Manhattan,419.0,3.0,58.0
2016,2,Manhattan,433.0,2.0,51.0
2016,3,Manhattan,465.0,1.0,62.0
2016,4,Manhattan,457.0,0.0,79.0
2016,5,Manhattan,602.0,1.0,85.0
2016,6,Manhattan,620.0,1.0,72.0
2016,7,Manhattan,504.0,1.0,61.0
2016,8,Manhattan,687.0,1.0,95.0
2016,9,Manhattan,646.0,1.0,90.0
2016,10,Manhattan,1618.0,15.0,195.0
2012,1,NYC,1740.0,0.0,411.0
2012,2,NYC,1886.0,0.0,395.0
2012,3,NYC,1803.0,0.0,340.0
2012,4,NYC,1481.0,0.0,386.0
2012,5,NYC,1521.0,0.0,316.0
2012,6,NYC,1643.0,0.0,316.0
2012,7,NYC,1696.0,0.0,409.0
2012,8,NYC,1409.0,0.0,308.0
2012,9,NYC,2002.0,0.0,248.0
2012,10,NYC,1715.0,0.0,437.0
2012,12,NYC,1481.0,0.0,455.0
2013,1,NYC,1722.0,0.0,399.0
2013,2,NYC,1831.0,0.0,247.0
2013,3,NYC,2017.0,0.0,191.0
2013,4,NYC,2786.0,0.0,442.0
2013,5,NYC,1923.0,1.0,248.0
2013,6,NYC,2029.0,0.0,150.0
2013,7,NYC,2138.0,0.0,265.0
2013,8,NYC,1469.0,0.0,177.0
2013,9,NYC,1981.0,0.0,198.0
2013,10,NYC,2933.0,0.0,358.0
2013,11,NYC,1704.0,0.0,204.0
2013,12,NYC,1713.0,0.0,269.0
2014,1,NYC,2712.0,0.0,318.0
2014,2,NYC,2323.0,0.0,197.0
2014,3,NYC,3446.0,2.0,417.0
2014,4,NYC,2896.0,0.0,184.0
2014,5,NYC,5616.0,5.0,446.0
2014,6,NYC,3586.0,0.0,437.0
2014,7,NYC,3492.0,0.0,274.0
2014,8,NYC,3601.0,0.0,301.0
2014,9,NYC,3103.0,1.0,339.0
2014,10,NYC,3695.0,1.0,362.0
2014,11,NYC,5997.0,9.0,539.0
2014,12,NYC,2124.0,0.0,137.0
2015,1,NYC,2742.0,0.0,164.0
2015,2,NYC,2747.0,3.0,168.0
2015,3,NYC,3461.0,0.0,162.0
2015,4,NYC,3978.0,0.0,232.0
2015,5,NYC,3529.0,2.0,190.0
2015,6,NYC,3791.0,0.0,206.0
2015,7,NYC,3582.0,0.0,324.0
2015,8,NYC,4106.0,2.0,267.0
2015,9,NYC,3413.0,0.0,204.0
2015,10,NYC,4313.0,3.0,334.0
2015,11,NYC,8272.0,23.0,307.0
2015,12,NYC,2723.0,0.0,250.0
2016,1,NYC,3489.0,2.0,207.0
2016,2,NYC,3596.0,2.0,147.0
2016,3,NYC,4071.0,1.0,170.0
2016,4,NYC,3682.0,0.0,138.0
2016,5,NYC,4155.0,1.0,218.0
2016,6,NYC,3876.0,1.0,155.0
2016,7,NYC,3351.0,0.0,280.0
2016,8,NYC,4330.0,1.0,280.0
2016,9,NYC,3861.0,1.0,269.0
2016,10,NYC,7359.0,8.0,275.0
2012,1,Queens,695.0,2.0,411.0
2012,2,Queens,611.0,0.0,395.0
2012,3,Queens,557.0,1.0,340.0
2012,4,Queens,604.0,5.0,386.0
2012,5,Queens,513.0,3.0,316.0
2012,6,Queens,603.0,1.0,316.0
2012,7,Queens,657.0,4.0,409.0
2012,8,Queens,510.0,1.0,308.0
2012,9,Queens,527.0,2.0,217.0
2012,10,Queens,720.0,0.0,437.0
2012,12,Queens,658.0,0.0,455.0
2013,1,Queens,707.0,4.0,399.0
2013,2,Queens,645.0,0.0,247.0
2013,3,Queens,534.0,2.0,151.0
2013,4,Queens,859.0,5.0,442.0
2013,5,Queens,506.0,2.0,248.0
2013,6,Queens,575.0,2.0,150.0
2013,7,Queens,628.0,3.0,265.0
2013,8,Queens,363.0,0.0,143.0
2013,9,Queens,423.0,1.0,198.0
2013,10,Queens,957.0,7.0,358.0
2013,11,Queens,366.0,0.0,121.0
2013,12,Queens,569.0,0.0,269.0
2014,1,Queens,676.0,3.0,318.0
2014,2,Queens,578.0,3.0,91.0
2014,3,Queens,1002.0,15.0,417.0
2014,4,Queens,757.0,17.0,184.0
2014,5,Queens,1386.0,29.0,446.0
2014,6,Queens,1199.0,15.0,437.0
2014,7,Queens,857.0,11.0,274.0
2014,8,Queens,909.0,7.0,301.0
2014,9,Queens,977.0,8.0,339.0
2014,10,Queens,1110.0,11.0,362.0
2014,11,Queens,2029.0,32.0,539.0
2014,12,Queens,590.0,0.0,116.0
2015,1,Queens,654.0,0.0,164.0
2015,2,Queens,600.0,3.0,81.0
2015,3,Queens,884.0,24.0,121.0
2015,4,Queens,1003.0,23.0,161.0
2015,5,Queens,828.0,3.0,103.0
2015,6,Queens,993.0,26.0,149.0
2015,7,Queens,698.0,6.0,108.0
2015,8,Queens,911.0,20.0,101.0
2015,9,Queens,817.0,8.0,147.0
2015,10,Queens,987.0,13.0,130.0
2015,11,Queens,2085.0,52.0,175.0
2015,12,Queens,735.0,19.0,85.0
2016,1,Queens,849.0,27.0,93.0
2016,2,Queens,903.0,23.0,110.0
2016,3,Queens,941.0,22.0,152.0
2016,4,Queens,848.0,18.0,109.0
2016,5,Queens,872.0,35.0,84.0
2016,6,Queens,982.0,19.0,105.0
2016,7,Queens,763.0,5.0,103.0
2016,8,Queens,819.0,14.0,121.0
2016,9,Queens,926.0,23.0,88.0
2016,10,Queens,1694.0,48.0,199.0
2012,1,Staten Island,349.0,42.0,237.0
2012,2,Staten Island,398.0,60.0,256.0
2012,3,Staten Island,288.0,67.0,150.0
2012,4,Staten Island,266.0,51.0,124.0
2012,5,Staten Island,349.0,98.0,141.0
2012,6,Staten Island,288.0,80.0,110.0
2012,7,Staten Island,296.0,28.0,168.0
2012,8,Staten Island,285.0,45.0,148.0
2012,9,Staten Island,431.0,79.0,201.0
2012,10,Staten Island,316.0,73.0,144.0
2012,12,Staten Island,187.0,21.0,108.0
2013,1,Staten Island,204.0,64.0,70.0
2013,2,Staten Island,315.0,70.0,169.0
2013,3,Staten Island,341.0,71.0,139.0
2013,4,Staten Island,444.0,101.0,222.0
2013,5,Staten Island,186.0,52.0,81.0
2013,6,Staten Island,275.0,72.0,114.0
2013,7,Staten Island,239.0,26.0,145.0
2013,8,Staten Island,208.0,1.0,177.0
2013,9,Staten Island,200.0,0.0,133.0
2013,10,Staten Island,320.0,21.0,135.0
2013,11,Staten Island,417.0,60.0,204.0
2013,12,Staten Island,344.0,19.0,244.0
2014,1,Staten Island,534.0,28.0,275.0
2014,2,Staten Island,440.0,56.0,197.0
2014,3,Staten Island,519.0,65.0,226.0
2014,4,Staten Island,437.0,68.0,164.0
2014,5,Staten Island,732.0,133.0,241.0
2014,6,Staten Island,616.0,84.0,290.0
2014,7,Staten Island,587.0,117.0,194.0
2014,8,Staten Island,504.0,86.0,187.0
2014,9,Staten Island,387.0,31.0,136.0
2014,10,Staten Island,375.0,84.0,113.0
2014,11,Staten Island,560.0,124.0,180.0
2014,12,Staten Island,214.0,20.0,137.0
2015,1,Staten Island,296.0,30.0,114.0
2015,2,Staten Island,442.0,54.0,168.0
2015,3,Staten Island,451.0,75.0,162.0
2015,4,Staten Island,587.0,81.0,232.0
2015,5,Staten Island,496.0,49.0,190.0
2015,6,Staten Island,541.0,71.0,206.0
2015,7,Staten Island,759.0,112.0,324.0
2015,8,Staten Island,747.0,106.0,267.0
2015,9,Staten Island,548.0,74.0,204.0
2015,10,Staten Island,903.0,109.0,334.0
2015,11,Staten Island,900.0,129.0,307.0
2015,12,Staten Island,563.0,63.0,250.0
2016,1,Staten Island,521.0,89.0,207.0
2016,2,Staten Island,485.0,92.0,147.0
2016,3,Staten Island,461.0,82.0,170.0
2016,4,Staten Island,476.0,99.0,138.0
2016,5,Staten Island,587.0,51.0,218.0
2016,6,Staten Island,401.0,77.0,155.0
2016,7,Staten Island,649.0,56.0,280.0
2016,8,Staten Island,669.0,66.0,280.0
2016,9,Staten Island,618.0,93.0,269.0
2016,10,Staten Island,738.0,137.0,240.0
